startDate,value
2020-08-19 19:37:35 -0400,185
2020-08-19 19:37:29 -0400,188
2020-08-19 19:37:25 -0400,190
2020-08-19 19:37:16 -0400,186
2020-08-19 19:37:15 -0400,186
2020-08-19 19:37:08 -0400,183
2020-08-19 19:37:01 -0400,180
2020-08-19 19:36:58 -0400,181
2020-08-19 19:36:53 -0400,180
2020-08-19 19:36:50 -0400,178
2020-08-19 19:36:43 -0400,176
2020-08-19 19:36:36 -0400,171
2020-08-19 19:36:31 -0400,168
2020-08-19 19:36:30 -0400,167
2020-08-19 19:36:25 -0400,166
2020-08-19 19:36:16 -0400,153
2020-08-19 19:36:11 -0400,153
2020-08-19 19:36:06 -0400,154
2020-08-19 19:36:04 -0400,155
2020-08-19 19:36:00 -0400,156
2020-08-19 19:35:52 -0400,164
2020-08-19 19:35:50 -0400,165
2020-08-19 19:35:41 -0400,169
2020-08-19 19:35:40 -0400,168
2020-08-19 19:35:31 -0400,176
2020-08-19 19:35:27 -0400,177
2020-08-19 19:35:25 -0400,178
2020-08-19 19:35:16 -0400,183
2020-08-19 19:35:13 -0400,182
2020-08-19 19:35:10 -0400,183
2020-08-19 19:35:05 -0400,181
2020-08-19 19:34:59 -0400,180
2020-08-19 19:34:53 -0400,177
2020-08-19 19:34:50 -0400,176
2020-08-19 19:34:45 -0400,177
2020-08-19 19:34:37 -0400,174
2020-08-19 19:34:31 -0400,168
2020-08-19 19:34:26 -0400,166
2020-08-19 19:34:21 -0400,155
2020-08-19 19:34:16 -0400,149
2020-08-19 19:34:11 -0400,150
2020-08-19 19:34:06 -0400,151
2020-08-19 19:34:05 -0400,151
2020-08-19 19:34:00 -0400,151
2020-08-19 19:33:54 -0400,153
2020-08-19 19:33:47 -0400,156
2020-08-19 19:33:42 -0400,156
2020-08-19 19:33:40 -0400,157
2020-08-19 19:33:35 -0400,160
2020-08-19 19:33:26 -0400,163
2020-08-19 19:33:22 -0400,165
2020-08-19 19:33:17 -0400,167
2020-08-19 19:33:14 -0400,168
2020-08-19 19:33:10 -0400,171
2020-08-19 19:33:05 -0400,175
2020-08-19 19:32:56 -0400,182
2020-08-19 19:32:55 -0400,181
2020-08-19 19:32:46 -0400,188
2020-08-19 19:32:41 -0400,190
2020-08-19 19:32:38 -0400,191
2020-08-19 19:32:31 -0400,194
2020-08-19 19:32:26 -0400,194
2020-08-19 19:32:25 -0400,194
2020-08-19 19:32:16 -0400,194
2020-08-19 19:32:11 -0400,192
2020-08-19 19:32:09 -0400,191
2020-08-19 19:32:05 -0400,193
2020-08-19 19:31:57 -0400,191
2020-08-19 19:31:52 -0400,191
2020-08-19 19:31:47 -0400,190
2020-08-19 19:31:45 -0400,189
2020-08-19 19:31:40 -0400,188
2020-08-19 19:31:34 -0400,187
2020-08-19 19:31:30 -0400,186
2020-08-19 19:31:25 -0400,186
2020-08-19 19:31:16 -0400,183
2020-08-19 19:31:14 -0400,181
2020-08-19 19:31:10 -0400,176
2020-08-19 19:31:01 -0400,170
2020-08-19 19:30:56 -0400,170
2020-08-19 19:30:52 -0400,172
2020-08-19 19:30:50 -0400,173
2020-08-19 19:30:42 -0400,177
2020-08-19 19:30:36 -0400,180
2020-08-19 19:30:31 -0400,181
2020-08-19 19:30:29 -0400,183
2020-08-19 19:30:25 -0400,185
2020-08-19 19:30:16 -0400,189
2020-08-19 19:30:15 -0400,189
2020-08-19 19:30:06 -0400,194
2020-08-19 19:30:05 -0400,194
2020-08-19 19:30:00 -0400,193
2020-08-19 19:29:55 -0400,192
2020-08-19 19:29:47 -0400,190
2020-08-19 19:29:45 -0400,189
2020-08-19 19:29:36 -0400,190
2020-08-19 19:29:31 -0400,189
2020-08-19 19:29:26 -0400,188
2020-08-19 19:29:22 -0400,188
2020-08-19 19:29:19 -0400,189
2020-08-19 19:29:15 -0400,189
2020-08-19 19:29:06 -0400,188
2020-08-19 19:29:02 -0400,187
2020-08-19 19:28:56 -0400,187
2020-08-19 19:28:51 -0400,187
2020-08-19 19:28:50 -0400,187
2020-08-19 19:28:44 -0400,187
2020-08-19 19:28:36 -0400,188
2020-08-19 19:28:31 -0400,188
2020-08-19 19:28:30 -0400,189
2020-08-19 19:28:24 -0400,189
2020-08-19 19:28:20 -0400,190
2020-08-19 19:28:15 -0400,192
2020-08-19 19:28:09 -0400,194
2020-08-19 19:28:01 -0400,192
2020-08-19 19:27:58 -0400,191
2020-08-19 19:27:51 -0400,190
2020-08-19 19:27:49 -0400,190
2020-08-19 19:27:45 -0400,188
2020-08-19 19:27:36 -0400,188
2020-08-19 19:27:34 -0400,187
2020-08-19 19:27:26 -0400,188
2020-08-19 19:27:25 -0400,188
2020-08-19 19:27:18 -0400,186
2020-08-19 19:27:12 -0400,185
2020-08-19 19:27:09 -0400,185
2020-08-19 19:27:05 -0400,184
2020-08-19 19:26:56 -0400,181
2020-08-19 19:26:55 -0400,180
2020-08-19 19:26:46 -0400,175
2020-08-19 19:26:44 -0400,175
2020-08-19 19:26:40 -0400,175
2020-08-19 19:26:33 -0400,175
2020-08-19 19:26:28 -0400,170
2020-08-19 19:26:23 -0400,167
2020-08-19 19:26:18 -0400,160
2020-08-19 19:26:11 -0400,147
2020-08-19 19:26:07 -0400,146
2020-08-19 19:26:04 -0400,146
2020-08-19 19:25:58 -0400,147
2020-08-19 19:25:54 -0400,148
2020-08-19 19:25:50 -0400,148
2020-08-19 19:25:41 -0400,150
2020-08-19 19:25:39 -0400,151
2020-08-19 19:25:33 -0400,153
2020-08-19 19:25:30 -0400,155
2020-08-19 19:25:22 -0400,162
2020-08-19 19:25:20 -0400,164
2020-08-19 19:25:11 -0400,166
2020-08-19 19:25:09 -0400,165
2020-08-19 19:25:01 -0400,170
2020-08-19 19:24:57 -0400,175
2020-08-19 19:24:51 -0400,179
2020-08-19 19:24:49 -0400,181
2020-08-19 19:24:45 -0400,181
2020-08-19 19:24:38 -0400,186
2020-08-19 19:24:35 -0400,188
2020-08-19 19:24:27 -0400,192
2020-08-19 19:24:21 -0400,192
2020-08-19 19:24:18 -0400,193
2020-08-19 19:24:15 -0400,194
2020-08-19 19:24:10 -0400,194
2020-08-19 19:24:01 -0400,195
2020-08-19 19:23:59 -0400,195
2020-08-19 19:23:53 -0400,195
2020-08-19 19:23:47 -0400,196
2020-08-19 19:23:45 -0400,196
